year,t,Rin,Rli,p,Ta,u,ea
2018,251,118.02099,340.0292,95.261,13.95,4.8571,0.89689
2018,251.0208333,62.533857,346.2472,95.231,13.667,4.8559,0.89635
2018,251.0416667,31.128726,332.8793,95.188,13.303,4.8065,0.90809
2018,251.0625,15.632594,323.351,95.144,12.795,4.7467,0.89779
2018,251.0833333,2.9738632,319.6191,95.118,12.383,4.5799,0.90053
2018,251.1041667,0,325.5807,95.135,12.009,4.2924,0.91152
2018,251.125,0,351.3605,95.118,11.47,4.1476,0.90744
2018,251.1458333,0,329.4348,95.093,11.017,4.2294,0.89641
2018,251.1666667,0,308.0786,95.07,11.077,4.138,0.92003
2018,251.1875,0,311.6112,95.039,10.816,4.002,0.93265
2018,251.2083333,0,294.1556,95.024,10.339,3.6547,0.92885
2018,251.2291667,0,292.5977,95.006,9.5991,3.4647,0.91365
2018,251.25,0,295.8044,94.984,9.0116,3.4143,0.89071
2018,251.2708333,0,296.6238,94.95,8.6488,3.6586,0.88044
2018,251.2916667,0,326.1532,94.914,8.8002,3.8064,0.88871
2018,251.3125,0,310.142,94.878,8.6547,3.6667,0.87057
2018,251.3333333,0,303.3347,94.837,8.3427,3.4759,0.83809
2018,251.3541667,0,297.014,94.788,7.892,3.4216,0.80961
2018,251.375,0,294.7449,94.738,7.7266,3.2355,0.80509
2018,251.3958333,0,298.3674,94.695,7.7502,3.4229,0.8186
2018,251.4166667,0,302.8146,94.657,7.7086,3.5543,0.83672
2018,251.4375,0,311.9814,94.625,7.5787,3.3479,0.85215
2018,251.4583333,0,307.4556,94.591,7.5828,3.3627,0.85973
2018,251.4791667,0,293.2985,94.547,7.2148,3.3482,0.83949
2018,251.5,0,291.6932,94.52,6.6568,3.4459,0.8149
2018,251.5208333,3.6124613,290.8007,94.484,6.3917,3.4221,0.80572
2018,251.5416667,25.402295,291.3487,94.454,6.5392,3.1332,0.81387
2018,251.5625,73.984528,293.3778,94.447,7.5776,3.4287,0.87639
2018,251.5833333,134.64576,295.4789,94.421,8.7885,3.5275,0.92725
2018,251.6041667,203.57699,297.8049,94.392,9.9307,3.9177,0.96772
2018,251.625,271.28823,300.9572,94.331,10.959,4.3213,0.99797
2018,251.6458333,336.41946,304.1663,94.299,11.787,4.4613,1.0167
2018,251.6666667,368.53069,307.2264,94.274,12.838,4.414,1.0636
2018,251.6875,376.33193,309.2208,94.237,13.019,4.7513,1.0538
2018,251.7083333,478.46316,310.6275,94.179,13.844,4.2794,1.0916
2018,251.7291667,505.08439,313.0395,94.147,14.801,4.0697,1.1519
2018,251.75,461.51563,316.9942,94.114,15.165,4.0549,1.1999
2018,251.7708333,463.99686,323.339,94.063,15.522,4.4069,1.2513
2018,251.7916667,548.18809,324.6199,94.031,16.465,4.0696,1.3504
2018,251.8125,537.21933,326.5277,94.034,15.934,4.9449,1.298
2018,251.8333333,520.18056,328.9421,93.984,15.88,4.7028,1.2774
2018,251.8541667,432.42179,325.9443,93.953,16.373,4.1996,1.2927
2018,251.875,378.26303,331.3768,93.966,16.965,3.6314,1.3312
2018,251.8958333,391.06426,331.4141,93.952,17.077,3.5838,1.3135
2018,251.9166667,435.54549,329.787,93.921,17.401,2.8258,1.3342
2018,251.9375,307.72673,331.8703,93.894,17.139,2.8875,1.3239
2018,251.9583333,222.09796,332.4674,93.871,16.912,3.0168,1.3072
2018,251.9791667,141.20919,332.9816,93.876,16.596,2.9158,1.2935
2018,252,91.847427,335.8567,93.857,16.164,3.1694,1.2955
2018,252.0208333,60.26966,336.8499,93.857,15.736,3.0247,1.292
2018,252.0416667,34.941893,335.0563,93.832,15.287,3.4343,1.2814
2018,252.0625,8.8355267,349.7351,93.818,14.722,3.8372,1.2695
2018,252.0833333,0,353.2558,93.809,14.144,3.4244,1.2629
2018,252.1041667,0,343.6523,93.804,13.7,2.7863,1.2544
2018,252.125,0,341.2294,93.79,13.278,2.9358,1.2459
